ID;Tarefa;Periodicidade;Área;Agendamento
d1;Analisar vendas (vendas, transações, receita média, projeção, quota);SEMANAL;Gestão Operacional e Vendas;Semanal (Segunda-feira)
d2;Analisar GES (nr. questionários, comentários);SEMANAL;Qualidade, Higiene e Segurança (HACCP);Semanal (Sexta-feira)
d3;Analisar indicadores de serviço por segmento;SEMANAL;Gestão Operacional e Vendas;Semanal (Sexta-feira)
d4;Analisar venda sugestiva;SEMANAL;Gestão Operacional e Vendas;Semanal (Segunda-feira)
d5;Analisar cartão continente (% clientes fidelizados);SEMANAL;Gestão Operacional e Vendas;Semanal (Segunda-feira)
s1;Analisar KPI's e definir ações para combater desvios (vendas, CEVC, produtividade);SEMANAL;Resultados e Finanças;Semanal (Terça-feira)
s2;Analisar dias de stock/ encomendadas;SEMANAL;Resultados e Finanças;Semanal (Segunda-feira)
s4;Verificar registos MyHaccp;SEMANAL;Qualidade, Higiene e Segurança (HACCP);Semanal (Segunda-feira)
s5;Analisar gastos gerais;SEMANAL;Resultados e Finanças;Semanal (Terça-feira)
s8;Ajustar/afixar horário semana n+2;SEMANAL;Recursos Humanos (Pessoas);Semanal (Sexta-feira)
m2;Analisar contas de exploração;MENSAL;Resultados e Finanças;Mensal (Dia 10)
m3;Verificar responsabilidades assumidas;MENSAL;Recursos Humanos (Pessoas);Mensal (Dia 10)
m4;Analisar qualitativos (auditorias, reclamações, rotação);MENSAL;Gestão Operacional e Vendas;Mensal (Dia 10)
m5;"Atualizar mapa Know-how (desvios face ao teórico); desencadear ações";MENSAL;Recursos Humanos (Pessoas);Mensal (Dia 8)
m6;Verificar planos de formação/ certificação e planos de carreira;MENSAL;Recursos Humanos (Pessoas);Mensal (Dia 20)
m7;Validar horário mês seguinte;MENSAL;Recursos Humanos (Pessoas);Mensal (Dia 25)
m8;Reunir com RU's (partilhar resultados da área de coordenação);MENSAL;Recursos Humanos (Pessoas);Anual (18 de Janeiro)
a3;Elaborar PPO (novembro);ANUAL;Resultados e Finanças;Anual (2 de Novembro)
a4;Validar planos de férias (dezembro);ANUAL;Recursos Humanos (Pessoas);Anual (8 de Dezembro)
o_c4;Avaliar concorrência;ANUAL;Gestão Operacional e Vendas;Anual (3 de Outubro)
ap_e3;Fazer auditoria cofre/ depósitos;MENSAL;Gestão Operacional e Vendas;Mensal (Dia 20)
ap_e4;Verificar quadro de comunicação( Afixação obrigatória);TRIMESTRE;Recursos Humanos (Pessoas);Trimestre (Dia 16)
ap_e7;Verificar planos de ação auditorias ;MENSAL;Qualidade, Higiene e Segurança (HACCP);Mensal (Dia 20)
ap_c3;Planeamento da produção/ exposição ajustada às vendas;MENSAL;Gestão Operacional e Vendas;Mensal (Dia 20)
ap_c4;Regras de higiene e segurança alimentar implementadas- analisar;MENSAL;Qualidade, Higiene e Segurança (HACCP);Mensal (Dia 21)
ap_c5;Regras de segurança e saúde no trabalho implementadas - analisar;MENSAL;Qualidade, Higiene e Segurança (HACCP);Mensal (Dia 22)
ap_c6;Produtos de venda estão disponíveis (não há ruturas);SEMANAL;Gestão Operacional e Vendas;Semanal (Sexta-feira)
ap_c7;Materiais de marketing estão corretamente colocados;MENSAL;Gestão Operacional e Vendas;Mensal (Dia 20)
ap_c10;Equipa cumpre standards de atendimento - analisar ;MENSAL;Qualidade, Higiene e Segurança (HACCP);Mensal (Dia 23)
ap_c11;Ambiente de sala (iluminação, música, temperatura) -analisar;MENSAL;Qualidade, Higiene e Segurança (HACCP);Mensal (Dia 24)
ap_c12;Plano On Off implementado Analisar ;TRIMESTRE;Manutenção ;Trimestre (Dia 14)
dir_d8;Analisar inventário de produtos críticos;DIÁRIA;Resultados e Finanças;Semanal (Terça-feira)
dir_s2;Verificar conciliações bancárias;SEMANAL;Resultados e Finanças;Semanal (Quarta-feira)
dir_s3;Conferir cofre;SEMANAL;Resultados e Finanças;Mensal (Dia 25)
dir_s4;Verificar inventário;SEMANAL;Resultados e Finanças;Semanal (Terça-feira)
dir_s6;Verificar processos de formação;SEMANAL;Recursos Humanos (Pessoas);Semanal (Quinta-feira)
dir_s8;Planear encomendas;SEMANAL;Gestão Operacional e Vendas;Semanal (Sexta-feira)
dir_m1;Ler lembretes do Goal/RH - fim de contratos, vistos a caducar;MENSAL;Recursos Humanos (Pessoas);Mensal (Dia 16)
dir_m2;Verificar marcação de exames médicos;MENSAL;Recursos Humanos (Pessoas);Mensal (Dia 23)
dir_m5;Garantir fecho Goal/RH;MENSAL;Recursos Humanos (Pessoas);Diária
dir_m8;Verificar cumprimento plano de manutenção mês n-1;MENSAL;Manutenção ;Mensal (Dia 26)
dir_m9;Preparar reunião com Coordenador;MENSAL;Gestão Operacional e Vendas;Mensal (Dia 12)
dir_m10;Comunicar subsidio de alimentação;MENSAL;Recursos Humanos (Pessoas);Todos os dias 25 de cada mês e no ultimo dia do mês
dir_o_p2;"Planear formação da unidade; garantir a sua execução actualizar horas de Formação";MENSAL;Recursos Humanos (Pessoas);Mensal (Dia 28)
dir_o_r1;"Gerir Iberdesk (pedidos; reclamações; aprovação faturas)";SEMANAL;Manutenção;Semanal (Sexta-feira)
dir_o_r2;Alterar códigos cofres e alarme;TRIMESTRE;Gestão Operacional e Vendas;Trimestre (Dia 16)
